district	type	rt1	rt2	rt3	rt4	rt5	rt6	rt7	price	population	height	longitude	latitude	attraction	building	busstop	community	mall	primaryschool	restaurant	secondaryschool	university	deltausers
东城区	纯住宅	1	1	1	1	1	0	1	54945.0	469.0	14.0	116.438995	39.899174	2	7	2	30	0	1	33	1	0	-124
朝阳区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	16.0	116.46019	39.96006	1	1	2	17	0	1	26	1	0	-106
朝阳区	写字楼	1	1	1	1	1	0	0	NULL	3520.0	29.0	116.463646	39.95706	1	9	2	20	2	0	46	1	0	-227
东城区	纯住宅	0	1	1	1	1	1	0	49000.0	193.0	7.0	116.43368	39.89946	1	7	3	57	0	1	14	0	0	-41
东城区	商住两用	1	1	0	1	1	1	1	42000.0	3960.0	15.0	116.431496	39.899223	2	2	2	67	0	2	3	0	0	-26
朝阳区	纯住宅	1	1	1	1	1	0	0	NULL	420.0	24.0	116.43342	39.960114	0	2	2	61	0	0	37	2	1	-57
朝阳区	商住两用	1	1	1	1	1	0	0	52000.0	2640.0	24.0	116.434875	39.957176	1	5	3	50	0	1	24	1	0	-47
东城区	商住两用	1	1	1	1	0	1	1	65000.0	5280.0	8.0	116.43234	39.91487	5	8	5	6	0	0	48	0	0	-74
朝阳区	商住两用	1	1	1	1	0	1	1	47609.0	6600.0	15.0	116.44179	39.95688	2	6	1	18	1	2	7	2	0	-62
朝阳区	纯住宅	1	1	1	1	1	0	0	46000.0	1092.0	14.0	116.463806	39.99503	0	0	1	167	0	0	19	0	0	-75
朝阳区	商住两用	1	1	1	1	1	1	1	49300.0	1320.0	13.5	116.44066	39.906982	8	2	0	28	2	1	3	1	0	-184
朝阳区	商住两用	1	1	1	1	1	1	1	49500.0	1320.0	18.0	116.44032	39.907948	9	5	2	13	1	1	8	0	0	-164
朝阳区	纯住宅	1	1	1	1	1	0	1	60000.0	9800.0	14.5	116.480225	39.898346	1	8	2	21	1	0	61	0	0	-111
朝阳区	商住两用	1	1	1	0	0	0	1	47000.0	1320.0	8.0	116.452286	39.913197	5	13	2	53	1	2	96	0	0	-98
朝阳区	酒店式公寓	1	1	1	1	1	0	0	40000.0	5280.0	22.5	116.48497	39.97504	0	0	2	18	0	0	4	0	0	-56
朝阳区	商住两用	1	0	0	0	0	1	1	45000.0	9240.0	15.0	116.387054	39.977253	5	18	0	8	0	0	42	0	0	-61
海淀区	商住两用	1	1	1	1	1	0	0	40478.0	5280.0	28.0	116.40905	40.056686	0	1	0	23	0	0	2	0	0	-44
朝阳区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	17.0	116.43921	39.924816	3	11	0	4	1	2	38	0	0	-272
朝阳区	写字楼	1	0	1	0	1	0	1	NULL	3520.0	14.0	116.39074	39.97107	0	6	1	16	1	0	27	0	0	-104
朝阳区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	18.0	116.48495	39.92322	0	3	4	68	0	3	42	2	1	-54
东城区	商住两用	1	1	1	0	1	0	0	53500.0	7920.0	18.0	116.440796	39.93024	2	18	3	5	0	0	23	0	0	-59
